Rank,Title,Author,Rating,Number of Ratings,Date,Description,Reviews,Pages,Cover Type,Score,Genres
631,"They Both Die at the End (Death-Cast, #1)",Adam Silvera,3.76,"786,035","First published September 5, 2017","On September 5, a little after midnight, Death-Cast calls Mateo Torrez and Rufus Emeterio to give them some bad news: They’re going to die today.","91,504",389,Hardcover,"16,253","Young Adult, Romance, LGBT, Fiction, Contemporary, Queer, Audiobook"
630,"The Bronze Horseman (The Bronze Horseman, #1)",Paullina Simons,4.29,"88,675","First published July 17, 2000","During the summer of 1941 the Metanov family are living a hard life in Leningrad. As the German armies advance their future looks bleak. For Tatiana, love arrives in the guise of Alexander, who harbours a deadly and extraordinary secret.","9,378",637,Paperback,"16,277","Historical Fiction, Romance, Historical, Historical Romance, Fiction, War, Russia"
627,"Scarlet (The Lunar Chronicles, #2)",Marissa Meyer,4.24,"433,205","First published February 5, 2013",Cinder is back and trying to break out of prison―even though she'll be the Commonwealth's most wanted fugitive if she does―in this second installment from Marissa Meyer. ,"40,050",454,Hardcover,"16,378","Fantasy, Young Adult, Science Fiction, Romance, Dystopia, Retellings, Fiction"
629,"Acheron (Dark-Hunter, #14)",Sherrilyn Kenyon,4.56,"60,438","First published August 5, 2008","Eleven thousand years ago a god was born. Cursed into the body of a human, Acheron endured a lifetime of hatred. His human death unleashed an unspeakable horror that almost destroyed the earth. Brought back against his will, he became the sole defender of mankind.","3,938",723,Hardcover,"16,303","Paranormal Romance, Paranormal, Romance, Fantasy, Vampires, Urban Fantasy, Mythology"
622,I Capture the Castle,Dodie Smith,3.99,"107,827","First published January 1, 1948","Through six turbulent months of 1934, 17-year-old Cassandra Mortmain keeps a journal, filling three notebooks with sharply funny yet poignant entries about her home, a ruined Suffolk castle, and her eccentric and penniless family. By the time the last diary shuts, there have been great changes in the Mortmain household, not the least of which is that Cassandra is deeply, hopelessly, in love.","11,135",408,Hardcover,"16,441","Classics, Fiction, Young Adult, Historical Fiction, Romance, Coming Of Age, Historical"
625,"Dead to the World (Sookie Stackhouse, #4)",Charlaine Harris,4.12,"262,232","First published May 3, 2004","Sookie Stackhouse is a cocktail waitress in Bon Temps, Louisiana. She has only a few close friends, because not everyone appreciates Sookie’s gift: she can read minds. That’s not exactly every man’s idea of date bait – unless they’re undead; vampires and the like can be tough to read. And that’s just the kind of guy Sookie’s been looking for. Maybe that’s why, when she comes across a naked vampire, she doesn’t just drive on by. He hasn’t got a clue who he is, but Sookie has: Eric looks just as scary and sexy – and dead – as ever. But now he has amnesia, he’s sweet, vulnerable, and in need of Sookie’s help – because whoever took his memory now wants his life.","6,364",291,Mass Market Paperback,"16,434","Fantasy, Vampires, Paranormal, Urban Fantasy, Romance, Fiction, Mystery"
626,"The Goose Girl (The Books of Bayern, #1)",Shannon Hale,4.14,"145,092","First published August 4, 2003","Her name was Anidori-Kiladra Talianna Isilee, Crown Princess of Kildenree, and she spent the first years of her life listening to her aunt’s stories and learning the language of the birds, especially the swans. And when she was older, she watched as a colt was born, and she heard the first word on his tongue, his name, Falada.","11,142",383,Paperback,"16,386","Fantasy, Young Adult, Romance, Fiction, Fairy Tales, Retellings, Middle Grade"
624,"I Am Number Four (Lorien Legacies, #1)",Pittacus Lore,3.93,"345,091","First published August 3, 2010",Nine of us came here. We look like you. We talk like you. We live among you. But we are not you. We can do things you dream of doing. We have powers you dream of having. We are stronger and faster than anything you have ever seen. We are the superheroes you worship in movies and comic books--but we are real.,"17,095",440,Hardcover,"16,436","Young Adult, Fantasy, Science Fiction, Fiction, Aliens, Romance, Paranormal"
621,Pericles and Aspasia: A Story of Ancient Greece,Yvonne Korshak,4.29,"16,070","First published October 4, 2022","STEP ASIDE, ANTONY AND PERICLES AND ASPASIA —THE LOVE STORY THAT SHAPED HISTORY",67,557,Kindle Edition,"16,506","Drama, Fiction, Historical Fiction, Romance, Love, Romantic, Young Adult Romance"
620,"Cress (The Lunar Chronicles, #3)",Marissa Meyer,4.41,"380,520","First published February 4, 2014","In this third book in the Lunar Chronicles, Cinder and Captain Thorne are fugitives on the run, now with Scarlet and Wolf in tow. Together, they're plotting to overthrow Queen Levana and her army.","34,635",552,Hardcover,"16,527","Fantasy, Young Adult, Science Fiction, Romance, Retellings, Dystopia, Fiction"
623,"Slammed (Slammed, #1)",Colleen Hoover,4.16,"400,498","First published January 4, 2012","Following the unexpected death of her father, 18-year-old Layken is forced to be the rock for both her mother and younger brother. Outwardly, she appears resilient and tenacious, but inwardly, she's losing hope.","26,304",354,Kindle Edition,"16,437","Romance, Young Adult, New Adult, Contemporary, Contemporary Romance, Fiction, Chick Lit"
619,Lady Chatterley’s Lover,D.H. Lawrence,3.50,"129,325","First published January 1, 1928","Lawrence's frank portrayal of an extramarital affair and the explicit sexual explorations of its central characters caused this controversial book, now considered a masterpiece, to be banned as pornography until 1960.","8,280",376,Hardcover,"16,539","Fiction, Romance, Classics, Literature, Banned Books, Historical Fiction, Novels"
618,What Lies in the Woods,Kate Alice Marshall,3.96,"146,467","First published January 17, 2023","Naomi Shaw used to believe in magic. Twenty-two years ago, she and her two best friends, Cassidy and Olivia, spent the summer roaming the woods, imagining a world of ceremony and wonder. They called it the Goddess Game. The summer ended suddenly when Naomi was attacked. Miraculously, she survived her seventeen stab wounds and lived to identify the man who had hurt her. The girls’ testimony put away a serial killer, wanted for murdering six women. They were heroes.","15,980",322,Hardcover,"16,562","Thriller, Mystery, Mystery Thriller, Fiction, Audiobook, Horror, Suspense"
616,The Westing Game,Ellen Raskin,4.00,"219,431","First published June 1, 1978","A bizarre chain of events begins when sixteen unlikely people gather for the reading of Samuel W. Westing's will. And though no one knows why the eccentric, game-loving millionaire has chosen a virtual stranger—and a possible murderer—to inherit his vast fortune, one thing's for sure: Sam Westing may be dead ... but that won't stop him from playing one last game!","14,859",182,Paperback,"16,643","Mystery, Fiction, Young Adult, Middle Grade, Classics, Childrens, Mystery Thriller"
617,"Trainspotting (Mark Renton, #2)",Irvine Welsh,4.11,"170,286","First published January 1, 1993",Described by ,"4,278",431,Paperback,"16,619","Fiction, Contemporary, Classics, Scotland, Novels, Crime, Literature"
614,The Art of War,Sun Tzu,3.95,"511,200","First published January 1, 401","Twenty-Five Hundred years ago, Sun Tzu wrote this classic book of military strategy based on Chinese warfare and military thought. Since that time, all levels of military have used the teaching on Sun Tzu to warfare and civilization have adapted these teachings for use in politics, business and everyday life. The Art of War is a book which should be used to gain advantage of opponents in the boardroom and battlefield alike.","20,146",170,Paperback,"16,658","Nonfiction, Philosophy, History, War, Politics, Business, Classics"
613,Daisy Jones & The Six,Taylor Jenkins Reid,4.20,"1,612,300","First published March 5, 2019","Daisy is a girl coming of age in L.A. in the late sixties, sneaking into clubs on the Sunset Strip, sleeping with rock stars, and dreaming of singing at the Whisky a Go Go. The sex and drugs are thrilling, but it’s the rock ’n’ roll she loves most. By the time she’s twenty, her voice is getting noticed, and she has the kind of heedless beauty that makes people do crazy things.","188,617",368,Hardcover,"16,682","Fiction, Historical Fiction, Audiobook, Contemporary, Music, Historical, Adult"
612,Nine Stories,J.D. Salinger,4.18,"149,962","First published April 6, 1953","Nine Stories (1953) is a collection of short stories by American fiction writer J. D. Salinger published in April 1953. It includes two of his most famous short stories, ""A Perfect Day for Bananafish"" and ""For Esmé – with Love and Squalor"". (Nine Stories is the U.S. title; the book is published in many other countries as For Esmé - with Love and Squalor, and Other Stories.)","6,109",302,Paperback,"16,691","Short Stories, Fiction, Classics, Literature, American, 20th Century, Literary Fiction"
615,"Ishmael (Ishmael, #1)",Daniel Quinn,4.01,"99,563","First published January 1, 1992",An Adventure of the Mind and Spirit,"6,731",338,Kindle Edition,"16,644","Fiction, Philosophy, Spirituality, Classics, Fantasy, Environment, Novels"
610,"Du côté de chez Swann (À la recherche du temps perdu, #1)",Marcel Proust,4.15,"62,848","First published November 14, 1913","«Et tout d'un coup le souvenir m'est apparu. Ce goût, c'était celui du petit morceau de madeleine que le dimanche matin à Combray (parce que ce jour-là je ne sortais pas avant l'heure de la messe), quand j'allais lui dire bonjour dans sa chambre, ma tante Léonie m'offrait après l'avoir trempé dans son infusion de thé ou de tilleul. La vue de la petite madeleine ne m'avait rien rappelé avant que je n'y eusse goûté... Mais, quand d'un passé ancien rien ne subsiste, après la mort des êtres, après la destruction des choses, seules, plus frêles mais plus vivaces, plus immatérielles, plus persistantes, plus fidèles, l'odeur et la saveur restent encore longtemps, comme des âmes, à se rappeler, à attendre, à espérer, sur la ruine de tout le reste, à porter sans fléchir, sur leur goutelette presque impalpable, l'édifice immense du souvenir.»","5,761",710,Mass Market Paperback,"16,756","Fiction, France, Literature, French Literature, Novels, Philosophy, 20th Century"
611,The Truth About Forever,Sarah Dessen,4.12,"224,389","First published May 11, 2004","That's what Macy has to look forward to while her boyfriend, Jason, is away at Brain Camp. Days will be spent at a boring job in the library, evenings will be filled with vocabulary drills for the SATs, and spare time will be passed with her mother, the two of them sharing a silent grief at the traumatic loss of Macy's father.","9,083",374,Paperback,"16,748","Young Adult, Romance, Contemporary, Fiction, Chick Lit, Realistic Fiction, Teen"
608,"The Darkest Minds (The Darkest Minds, #1)",Alexandra Bracken,4.16,"196,954","First published December 18, 2012","When Ruby woke up on her tenth birthday, something about her had changed. Something alarming enough to make her parents lock her in the garage and call the police. Something that gets her sent to Thurmond, a brutal government “rehabilitation camp.” She might have survived the mysterious disease that’s killed most of America’s children, but she and the others have emerged with something far worse: frightening abilities they cannot control.","19,535",488,Hardcover,"16,983","Young Adult, Dystopia, Fantasy, Science Fiction, Romance, Fiction, Paranormal"
609,"The Unbecoming of Mara Dyer (Mara Dyer, #1)",Michelle Hodkin,4.02,"186,418","First published September 27, 2011",Mara Dyer believes life can’t get any stranger than waking up in a hospital with no memory of how she got there. ,"19,805",456,Kindle Edition,"16,892","Young Adult, Fantasy, Paranormal, Romance, Mystery, Fiction, Supernatural"
607,Twelfth Night,William Shakespeare,3.96,"187,735","First published January 1, 1970","Named for the twelfth night after Christmas, the end of the Christmas season, ","6,354",272,Mass Market Paperback,"16,996","Plays, Fiction, Classics, School, Romance, Literature, Poetry"
606,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson,3.66,"358,385","First published January 1, 2006",Tres tazas de te( La lucha de un hombre por promover la paz escuela a escuela = Three Cups of Tea) <> Paperback <> GregMortenson <> RocaEditorial,"24,143",349,Paperback,"17,039","Nonfiction, Memoir, Biography, Travel, Education, Book Club, Biography Memoir"
604,"Silence (Hush, Hush, #3)",Becca Fitzpatrick,4.07,"287,174","First published October 4, 2011","Nora Grey can't remember the past five months of her life. After the initial shock of waking up in a cemetery and being told that she has been missing for weeks - with no one knowing where she was or who she was with - she tried to get her life back on track. Go to school, hang out with her best friend, Vee, and dodge mom's creepy new boyfriend.","9,289",440,Hardcover,"17,071","Fantasy, Young Adult, Romance, Angels, Paranormal, Paranormal Romance, Fiction"
603,The Silent Patient,Alex Michaelides,4.18,"2,496,711","First published February 5, 2019","Alicia Berenson’s life is seemingly perfect. A famous painter married to an in-demand fashion photographer, she lives in a grand house with big windows overlooking a park in one of London’s most desirable areas. One evening her husband Gabriel returns home late from a fashion shoot, and Alicia shoots him five times in the face, and then never speaks another word.","218,660",336,Hardcover,"17,075","Thriller, Mystery, Fiction, Mystery Thriller, Suspense, Crime, Psychological Thriller"
601,No Country for Old Men,Cormac McCarthy,4.16,"212,491","First published July 19, 2005","In his blistering new novel, Cormac McCarthy returns to the Texas-Mexico border, the setting of his famed ","13,177",309,Paperback,"17,142","Fiction, Thriller, Westerns, Crime, Mystery, Literature, Novels"
602,The Last Lecture,Randy Pausch,4.26,"351,301","First published April 8, 2008","A lot of professors give talks titled 'The Last Lecture'. Professors are asked to consider their demise and to ruminate on what matters most to them: What wisdom would we impart to the world if we knew it was our last chance? If we had to vanish tomorrow, what would we want as our legacy?","20,124",217,Kindle Edition,"17,080","Nonfiction, Memoir, Biography, Self Help, Inspirational, Philosophy, Autobiography"
604,"The Horse and His Boy (Chronicles of Narnia, #5)",C.S. Lewis,3.91,"363,760","First published September 6, 1954"," is a stirring and dramatic fantasy story that finds a young boy named Shasta on the run from his homeland with the talking horse, Bree. When the pair discover a deadly plot by the Calormen people to conquer the land of Narnia, the race is on to warn the inhabitants of the impending danger and to rescue them all from certain death.","12,981",224,Paperback,"17,071","Fantasy, Fiction, Young Adult, Childrens, Christian, Adventure, Middle Grade"
582,Into Thin Air: A Personal Account of the Mt. Everest Disaster,Jon Krakauer,4.25,"521,741","First published May 1, 1997","When Jon Krakauer reached the summit of Mt. Everest in the early afternoon of May 10, 1996, he hadn't slept in fifty-seven hours and was reeling from the brain-altering effects of oxygen depletion. As he turned to begin his long, dangerous descent from 29,028 feet, twenty other climbers were still pushing doggedly toward the top. No one had noticed that the sky had begun to fill with clouds. Six hours later and 3,000 feet lower, in 70-knot winds and blinding snow, Krakauer collapsed in his tent, freezing, hallucinating from exhaustion and hypoxia, but safe. The following morning, he learned that six of his fellow climbers hadn't made it back to their camp and were desperately struggling for their lives. When the storm finally passed, five of them would be dead, and the sixth so horribly frostbitten that his right hand would have to be amputated.","19,921",368,Paperback,"17,871","Nonfiction, Adventure, Memoir, Travel, Biography, History, Survival"
578,"A Great and Terrible Beauty (Gemma Doyle, #1)",Libba Bray,3.80,"224,003","First published December 9, 2003","In this debut gothic novel mysterious visions, dark family secrets and a long-lost diary thrust Gemma and her classmates back into the horrors that followed her from India. (Ages 12+)","10,616",403,Hardcover,"17,988","Fantasy, Young Adult, Historical Fiction, Fiction, Historical, Paranormal, Romance"
581,Sarah's Key,Tatiana de Rosnay,4.18,"481,319","First published September 1, 2006","Paris, July 1942: Ten-year-old Sarah is brutally arrested with her family in the Vel' d'Hiv' roundup, the most notorious act of French collaboration with the Nazis. but before the police come to take them, Sarah locks her younger brother, Michel, in their favorite hiding place, a cupboard in the family's apartment. She keeps the key, thinking that she will be back within a few hours.","31,608",294,Hardcover,"17,885","Historical Fiction, Fiction, Holocaust, Historical, World War II, France, War"
577,Are You My Mother?,P.D. Eastman,4.21,"246,374","First published June 12, 1960","ARE YOU MY MOTHER? tells a very simple story for children who have just started to read. their younger brothers or sisters will also want to follow the baby bird's quest as he asks everyone and everything he meets, ""Are You My Mother?"".","2,845",64,Paperback,"18,019","Childrens, Fiction, Picture Books, Animals, Classics, Family, Kids"
580,The Polar Express,Chris Van Allsburg,4.32,"242,927","First published October 28, 1985","Late one Christmas Eve after the town has gone to sleep, the boy boards the mysterious train that waits for him: the Polar Express bound for the North Pole. When he arrives, Santa offers the boy any gift he desires. The boy modestly asks for one bell from the harness of the reindeer. The gift is granted. On the way home the bell is lost. On Christmas morning, the boy finds the bell under the tree. The mother of the boy admires the bell, but laments that it is broken—for you see, only believers can hear the sound of the bell.","4,178",32,Hardcover,"17,923","Picture Books, Childrens, Christmas, Fiction, Classics, Fantasy, Holiday"
579,"The Queen of Nothing (The Folk of the Air, #3)",Holly Black,4.35,"773,047","First published November 19, 2019","Power is much easier to acquire than it is to hold onto. Jude learned this lesson when she released her control over the wicked king, Cardan, in exchange for immeasurable power. ","75,661",321,ebook,"17,970","Fantasy, Young Adult, Romance, Fae, Young Adult Fantasy, Fiction, Magic"
576,"Cannery Row (Cannery Row, #1)",John Steinbeck,4.06,"142,383","First published January 1, 1945"," is a book without much of a plot. Rather, it is an attempt to capture the feeling and people of a place, the cannery district of Monterey, California, which is populated by a mix of those down on their luck and those who choose for other reasons not to live ""up the hill"" in the more respectable area of town. The flow of the main plot is frequently interrupted by short vignettes that introduce us to various denizens of the Row, most of whom are not directly connected with the central story. These vignettes are often characterized by direct or indirect reference to extreme violence: suicides, corpses, and the cruelty of the natural world.","8,065",181,Paperback,"18,076","Fiction, Classics, Literature, Historical Fiction, American, Novels, Literary Fiction"
575,"Cry, the Beloved Country",Alan Paton,3.92,"76,065","First published February 1, 1948",", the most famous and important novel in South Africa’s history, was an immediate worldwide bestseller in 1948. Alan Paton’s impassioned novel about a black man’s country under white man’s law is a work of searing beauty.","4,943",316,Hardcover,"18,102","Fiction, Classics, Historical Fiction, South Africa, Literature, School, Novels"
574,"Torment (Fallen, #2)",Lauren Kate,3.84,"238,258","First published September 28, 2010",Hell on earth.,"8,636",452,Hardcover,"18,131","Young Adult, Fantasy, Romance, Angels, Paranormal, Paranormal Romance, Supernatural"
570,Far From the Madding Crowd,Thomas Hardy,3.96,"157,047","First published January 1, 1874","Independent and spirited Bathsheba Everdene has come to Weatherbury to take up her position as a farmer on the largest estate in the area. Her bold presence draws three very different suitors: the gentleman-farmer Boldwood, soldier-seducer Sergeant Troy and the devoted shepherd Gabriel Oak. Each, in contrasting ways, unsettles her decisions and complicates her life, and tragedy ensues, threatening the stability of the whole community. The first of his works set in the fictional county of Wessex, Hardy's novel of swift passion and slow courtship is imbued with his evocative descriptions of rural life and landscapes, and with unflinching honesty about sexual relationships.","8,661",433,Paperback,"18,363","Classics, Fiction, Romance, Historical Fiction, Literature, 19th Century, Victorian"
573,Much Ado About Nothing,William Shakespeare,4.06,"248,773","First published January 1, 1598",In ,"6,285",249,Paperback,"18,162","Plays, Fiction, Classics, Romance, School, Literature, Poetry"
571,"Bared to You (Crossfire, #1)",Sylvia Day,4.14,"535,071","First published April 3, 2012","Gideon Cross came into my life like lightning in the darkness. He was beautiful and brilliant, jagged and white-hot. I was drawn to him as I'd never been to anything or anyone in my life. I craved his touch like a drug, even knowing it would weaken me. I was flawed and damaged, and he opened those cracks in me so easily.","21,775",352,Paperback,"18,269","Romance, Erotica, Contemporary, Contemporary Romance, Adult, Fiction, Erotic Romance"
568,Macbeth,William Shakespeare,3.89,"929,647","First published January 1, 1623","One night on the heath, the brave and respected general Macbeth encounters three witches who foretell that he will become king of Scotland. At first sceptical, he’s urged on by the ruthless, single-minded ambitions of Lady Macbeth, who suffers none of her husband’s doubt. But seeing the prophecy through to the bloody end leads them both spiralling into paranoia, tyranny, madness, and murder.","22,058",249,Mass Market Paperback,"18,527","Classics, Plays, Fiction, School, Read For School, Literature, Theatre"
572,A Monster Calls,Patrick Ness,4.35,"272,416","First published May 5, 2011","Conor has the same dream every night, ever since his mother first fell ill, ever since she started the treatments that don't quite seem to be working. But tonight is different. Tonight, when he wakes, there's a visitor at his window. It's ancient, elemental, a force of nature. And it wants the most dangerous thing of all from Conor. It wants the truth. ","42,636",237,Paperback,"18,212","Fantasy, Young Adult, Fiction, Horror, Middle Grade, Contemporary, Magical Realism"
567,Vanity Fair,William Makepeace Thackeray,3.80,"129,724","First published January 1, 1847","A novel that chronicles the lives of two women who could not be more different: Becky Sharp, an orphan whose only resources are her vast ambitions, her native wit, and her loose morals; and her schoolmate Amelia Sedley, a typically naive Victorian heroine, the pampered daughter of a wealthy family.","4,647",867,Paperback,"18,612","Classics, Fiction, Historical Fiction, Literature, 19th Century, Romance, British Literature"
569,"The Wicked King (The Folk of the Air, #2)",Holly Black,4.29,"858,588","First published January 8, 2019","After the jaw-dropping revelation that Oak is the heir to Faerie, Jude must keep her brother safe. To do so, she has bound the wicked king, Cardan, to her, and made herself the power behind the throne. Navigating the constantly shifting political alliances of Faerie would be difficult enough if Cardan were easy to control. But he does everything in his power to humiliate and undermine her even as his fascination with her remains undiminished.","80,639",336,ebook,"18,392","Fantasy, Young Adult, Romance, Young Adult Fantasy, Fiction, Magic, Audiobook"
565,Johnny Got His Gun,Dalton Trumbo,4.20,"45,206","First published September 3, 1939","This was no ordinary war. This was a war to make the world safe for democracy. And if democracy was made safe, then nothing else mattered - not the millions of dead bodies, nor the thousands of ruined lives... ","3,393",309,Paperback,"18,671","Fiction, Classics, War, Historical Fiction, Horror, Literature, Novels"
564,Snow Crash,Neal Stephenson,4.02,"285,538","First published June 1, 1992","In reality, Hiro Protagonist delivers pizza for Uncle Enzo's CosoNostra Pizza Inc., but in the Metaverse he's a warrior prince. Plunging headlong into the enigma of a new computer virus that's striking down hackers everywhere, he races along the neon-lit streets on a search-and-destroy mission for the shadowy virtual villain threatening to bring about infocalypse. ","12,674",559,Kindle Edition,"18,719","Science Fiction, Fiction, Cyberpunk, Fantasy, Science Fiction Fantasy, Audiobook, Dystopia"
562,"Wizard's First Rule (Sword of Truth, #1)",Terry Goodkind,4.12,"248,725","First published August 15, 1994","In the aftermath of the brutal murder of his father, a mysterious woman, Kahlan Amnell, appears in Richard Cypher's forest sanctuary seeking help . . . and more. ","7,636",836,Mass Market Paperback,"18,744","Fantasy, Fiction, Epic Fantasy, High Fantasy, Science Fiction Fantasy, Magic, Adventure"
561,The Left Hand of Darkness,Ursula K. Le Guin,4.10,"192,530","First published January 1, 1969","A groundbreaking work of science fiction, ","16,952",304,Paperback,"18,745","Science Fiction, Fiction, Fantasy, Classics, Science Fiction Fantasy, Speculative Fiction, Queer"
559,"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,4.76,"384,207","First published March 4, 2014","Expected by his enemies to die the miserable death of a military slave, Kaladin survived to be given command of the royal bodyguards, a controversial first for a low-status ""darkeyes."" Now he must protect the king and Dalinar from every common peril as well as the distinctly uncommon threat of the Assassin, all while secretly struggling to master remarkable new powers that are somehow linked to his honorspren, Syl.","24,680",1087,Hardcover,"18,990","Fantasy, Fiction, Epic Fantasy, Audiobook, High Fantasy, Adult, Magic"
560,"Bloodlines (Bloodlines, #1)",Richelle Mead,4.20,"187,728","First published August 23, 2011","I wasn't free of my past, not yet.","9,021",432,Hardcover,"18,869","Young Adult, Fantasy, Vampires, Paranormal, Romance, Urban Fantasy, Magic"
566,"2001: A Space Odyssey (Space Odyssey, #1)",Arthur C. Clarke,4.17,"320,128","First published April 28, 1968","On the Moon, an enigma is uncovered.","9,002",297,Paperback,"18,670","Science Fiction, Fiction, Classics, Science Fiction Fantasy, Space, Audiobook, Fantasy"
558,"The Iron King (The Iron Fey, #1)",Julie Kagawa,3.88,"214,877","First published January 19, 2010","Something has always felt slightly off in Meghan's life, ever since her father disappeared before her eyes when she was six. She has never quite fit in at school or at home.","13,592",363,Paperback,"19,036","Fantasy, Young Adult, Romance, Paranormal, Fae, Fairies, Urban Fantasy"
563,"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,3.93,"997,512","First published June 5, 2012",▶ ,"87,829",358,Hardcover,"18,728","Fantasy, Young Adult, Fiction, Young Adult Fantasy, Magic, High Fantasy, Adventure"
557,"Unravel Me (Shatter Me, #2)",Tahereh Mafi,4.13,"608,974","First published February 5, 2013",The thrilling second installment in New York Times bestselling author Tahereh Mafi’s Shatter Me series.,"56,923",461,Hardcover,"19,186","Fantasy, Dystopia, Romance, Young Adult, Science Fiction, Fiction, Paranormal"
555,Of Human Bondage,W. Somerset Maugham,4.15,"58,399","First published January 1, 1915","From a tormented orphan with a clubfoot, Philip Carey grows into an impressionable young man with a voracious appetite for adventure and knowledge. His cravings take him to Paris at age eighteen to try his hand at art, then back to London to study medicine. But even so, nothing can sate his nagging hunger for experience. Then he falls obsessively in love, embarking on a disastrous relationship that will change his life forever.…","4,219",684,Mass Market Paperback,"19,443","Fiction, Classics, Literature, Novels, Romance, British Literature, Literary Fiction"
556,"The Witching Hour (Lives of the Mayfair Witches, #1)",Anne Rice,4.10,"119,537","First published October 1, 1990","From the author of the extraordinary Vampire Chronicles comes a huge, hypnotic novel of witchcraft and the occult through four centuries.","5,207",1207,Paperback,"19,438","Horror, Fantasy, Fiction, Paranormal, Witches, Supernatural, Gothic"
554,العصبي,أحمد جمال الدين رمضان,4.61,"2,776","First published January 1, 2016",كان الجميع يعلم أنه عصبى .. هذه ليست المشكلة، المشكلة أنه كان يعترف بهذا، كان يعترف أنه عصبى، سريع الاستثارة، ومندفع؛ لكنه لم يحاول تغيير ذلك أبداً، كان ينتابه الغضب ويندفع فى السباب كالسيل العارم لأتفه الأسباب، وأحيانا بدون أسباب تذكر، يفقد أعصابه بسهولة فيثور دون أن يبالى بالعواقب، برميل من البارود قابل للاشتعال فى أى لحظة كما يحلو للبعض أن يصفه، تلك كانت طبيعته المميزة، وهكذا مضت حياته، مشاكل له .. ومأساة للآخرين ممن أوقعهم حظهم العاثر فى دائرة التعامل معه...,361,165,Paperback,"19,452","Short Stories, Fiction, Literature, Novels, Anthologies"
552,Brideshead Revisited,Evelyn Waugh,4.00,"117,808","First published January 1, 1945","The most nostalgic and reflective of Evelyn Waugh's novels, ","7,460",351,Paperback,"19,557","Fiction, Historical Fiction, Classics, Literature, Novels, British Literature, LGBT"
551,"Unwind (Unwind, #1)",Neal Shusterman,4.17,"235,900","First published November 6, 2007","The Second Civil War was fought over reproductive rights. The chilling resolution: Life is inviolable from the moment of conception until age thirteen. Between the ages of thirteen and eighteen, however, parents can have their child ""unwound,"" whereby all of the child's organs are transplanted into different donors, so life doesn't technically end. Connor is too difficult for his parents to control. Risa, a ward of the state, is not enough to be kept alive. And Lev is a tithe, a child conceived and raised to be unwound. Together, they may have a chance to escape and to survive.","23,174",337,Hardcover,"19,563","Young Adult, Dystopia, Science Fiction, Fiction, Fantasy, Horror, Thriller"
553,North and South,Elizabeth Gaskell,4.15,"173,640","First published January 1, 1855","When her father leaves the Church in a crisis of conscience, Margaret Hale is uprooted from her comfortable home in Hampshire to move with her family to the north of England. Initially repulsed by the ugliness of her new surroundings in the industrial town of Milton, Margaret becomes aware of the poverty and suffering of the local mill workers and develops a passionate sense of social justice. This is intensified by her tempestuous relationship with the mill-owner and self-made man, John Thornton, as their fierce opposition over his treatment of his employees masks a deeper attraction.","10,605",521,Paperback,"19,553","Classics, Fiction, Romance, Historical Fiction, Historical, 19th Century, Victorian"
549,Ugly Love,Colleen Hoover,4.03,"2,004,662","First published August 5, 2014","When Tate Collins meets airline pilot Miles Archer, she knows it isn’t love at first sight. They wouldn’t even go so far as to consider themselves friends. The only thing Tate and Miles have in common is an undeniable mutual attraction. Once their desires are out in the open, they realize they have the perfect set-up. He doesn’t want love, she doesn’t have time for love, so that just leaves the sex. Their arrangement could be surprisingly seamless, as long as Tate can stick to the only two rules Miles has for her.","134,605",330,Kindle Edition,"19,681","Romance, Contemporary, New Adult, Fiction, Contemporary Romance, Audiobook, Adult"
550,The God Delusion,Richard Dawkins,3.90,"272,178","First published October 1, 2006","A preeminent scientist - and the world's most prominent atheist - asserts the irrationality of belief in God, and the grievous harm religion has inflicted on society, from the Crusades to 9/11.","9,754",374,Hardcover,"19,633","Nonfiction, Religion, Science, Philosophy, Atheism, Audiobook, Psychology"
548,"A Discovery of Witches (All Souls, #1)",Deborah Harkness,4.02,"510,327","First published February 8, 2011","A richly inventive novel about a centuries-old vampire, a spellbound witch, and the mysterious manuscript that draws them together. ","46,642",579,Hardcover,"19,796","Fantasy, Romance, Fiction, Paranormal, Vampires, Witches, Magic"
546,"Sheever's Journal, Diary of a Poison Master",K.  Ritz,4.33,"9,723","Published April 26, 2019",Synopsis: ,20,410,Paperback,"19,833","Drama, Historical Fiction, Novels, Fiction, Historical, Book Club, Contemporary"
547,Sense and Sensibility,Jane Austen,4.09,"1,223,034","First published October 30, 1811","Marianne Dashwood wears her heart on her sleeve, and when she falls in love with the dashing but unsuitable John Willoughby she ignores her sister Elinor's warning that her impulsive behaviour leaves her open to gossip and innuendo. Meanwhile Elinor, always sensitive to social convention, is struggling to conceal her own romantic disappointment, even from those closest to her. Through their parallel experience of love—and its threatened loss—the sisters learn that sense must mix with sensibility if they are to find personal happiness in a society where status and money govern the rules of love.","29,261",409,Paperback,"19,830","Classics, Fiction, Historical Fiction, Literature, Historical, Audiobook, Classic Literature"
